region,province,city_municipality,barangay,reg_code,prv_code,mun_code,bgy_code,geocode
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DALIG,04,010,03,023,0401003023
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DAO,04,010,03,024,0401003024
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DILAO,04,010,03,025,0401003025
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DUHATAN,04,010,03,026,0401003026
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,DURUNGAO,04,010,03,027,0401003027
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,GIMALAS,04,010,03,028,0401003028
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,GUMAMELA,04,010,03,029,0401003029
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LAGNAS,04,010,03,030,0401003030
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LANATAN,04,010,03,031,0401003031
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LANGGANGAN,04,010,03,032,0401003032
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LUCBAN PUTOL,04,010,03,033,0401003033
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,LUCBAN POOK,04,010,03,034,0401003034
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,MAGABE,04,010,03,035,0401003035
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,MALALAY,04,010,03,036,0401003036
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,MUNTING TUBIG,04,010,03,037,0401003037
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,NAVOTAS,04,010,03,038,0401003038
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,PATUGO,04,010,03,039,0401003039
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,PALIKPIKAN,04,010,03,040,0401003040
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,POOC,04,010,03,042,0401003042
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SAMBAT,04,010,03,043,0401003043
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SAMPAGA,04,010,03,044,0401003044
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SAN JUAN,04,010,03,045,0401003045
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SAN PIRO,04,010,03,046,0401003046
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SANTOL,04,010,03,048,0401003048
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,SUKOL,04,010,03,049,0401003049
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,TACTAC,04,010,03,050,0401003050
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,TALUDTUD,04,010,03,051,0401003051
REGION IV-A (CALABARZON),BATANGAS,BALAYAN,TANGGOY,04,010,03,052,0401003052
REGION IV-A (CALABARZON),BATANGAS,BALETE,ALANGILAN,04,010,04,001,0401004001
REGION IV-A (CALABARZON),BATANGAS,BALETE,CALAWIT,04,010,04,002,0401004002
REGION IV-A (CALABARZON),BATANGAS,BALETE,LOOC,04,010,04,003,0401004003
REGION IV-A (CALABARZON),BATANGAS,BALETE,MAGAPI,04,010,04,004,0401004004
REGION IV-A (CALABARZON),BATANGAS,BALETE,MAKINA,04,010,04,005,0401004005
REGION IV-A (CALABARZON),BATANGAS,BALETE,MALABANAN,04,010,04,006,0401004006
REGION IV-A (CALABARZON),BATANGAS,BALETE,PALIGAWAN,04,010,04,007,0401004007
REGION IV-A (CALABARZON),BATANGAS,BALETE,PALSARA,04,010,04,008,0401004008
REGION IV-A (CALABARZON),BATANGAS,BALETE,POBLACION,04,010,04,009,0401004009
REGION IV-A (CALABARZON),BATANGAS,BALETE,SALA,04,010,04,010,0401004010
REGION IV-A (CALABARZON),BATANGAS,BALETE,SAMPALOCAN,04,010,04,011,0401004011
REGION IV-A (CALABARZON),BATANGAS,BALETE,SOLIS,04,010,04,012,0401004012
REGION IV-A (CALABARZON),BATANGAS,BALETE,SAN SEBASTIAN,04,010,04,013,0401004013
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),ALANGILAN,04,010,05,001,0401005001
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BALAGTAS,04,010,05,003,0401005003
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BALETE,04,010,05,004,0401005004
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BANABA CENTER,04,010,05,006,0401005006
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BANABA KANLURAN,04,010,05,007,0401005007
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BANABA SILANGAN,04,010,05,008,0401005008
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BANABA IBABA,04,010,05,009,0401005009
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BILOGO,04,010,05,010,0401005010
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MAAPAS,04,010,05,011,0401005011
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BOLBOK,04,010,05,012,0401005012
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BUKAL,04,010,05,013,0401005013
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),CALICANTO,04,010,05,014,0401005014
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),CATANDALA,04,010,05,016,0401005016
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),CONCEPCION,04,010,05,017,0401005017
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),CONDE ITAAS,04,010,05,018,0401005018
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),CONDE LABAK,04,010,05,019,0401005019
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),CUTA,04,010,05,020,0401005020
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),DALIG,04,010,05,021,0401005021
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),DELA PAZ,04,010,05,022,0401005022
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),DELA PAZ PULOT APLAYA,04,010,05,023,0401005023
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),DELA PAZ PULOT ITAAS,04,010,05,024,0401005024
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),DOMOCLAY,04,010,05,026,0401005026
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),DUMANTAY,04,010,05,027,0401005027
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),GULOD ITAAS,04,010,05,028,0401005028
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),GULOD LABAK,04,010,05,029,0401005029
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),HALIGUE KANLURAN,04,010,05,030,0401005030
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),HALIGUE SILANGAN,04,010,05,031,0401005031
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),ILIHAN,04,010,05,032,0401005032
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),KUMBA,04,010,05,033,0401005033
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),KUMINTANG IBABA,04,010,05,034,0401005034
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),KUMINTANG ILAYA,04,010,05,035,0401005035
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),LIBJO,04,010,05,036,0401005036
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),"LIPONPON, ISLA VERDE",04,010,05,037,0401005037
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MAHABANG DAHILIG,04,010,05,038,0401005038
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MAHABANG PARANG,04,010,05,039,0401005039
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MAHACOT SILANGAN,04,010,05,040,0401005040
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MAHACOT KANLURAN,04,010,05,041,0401005041
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MALALIM,04,010,05,042,0401005042
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MALIBAYO,04,010,05,043,0401005043
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MALITAM,04,010,05,044,0401005044
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MARUCLAP,04,010,05,045,0401005045
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),MABACONG,04,010,05,046,0401005046
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),PAGKILATAN,04,010,05,047,0401005047
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),PAHARANG KANLURAN,04,010,05,048,0401005048
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),PAHARANG SILANGAN,04,010,05,049,0401005049
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),PALLOCAN SILANGAN,04,010,05,050,0401005050
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),PALLOCAN KANLURAN,04,010,05,051,0401005051
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),PINAMUCAN,04,010,05,052,0401005052
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),PINAMUCAN IBABA,04,010,05,053,0401005053
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),PINAMUCAN SILANGAN,04,010,05,054,0401005054
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 1 (POB.),04,010,05,055,0401005055
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 10 (POB.),04,010,05,056,0401005056
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 11 (POB.),04,010,05,057,0401005057
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 12 (POB.),04,010,05,058,0401005058
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 13 (POB.),04,010,05,059,0401005059
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 14 (POB.),04,010,05,060,0401005060
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 15 (POB.),04,010,05,061,0401005061
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 16 (POB.),04,010,05,062,0401005062
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 17 (POB.),04,010,05,063,0401005063
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 18 (POB.),04,010,05,064,0401005064
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 19 (POB.),04,010,05,065,0401005065
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 2 (POB.),04,010,05,066,0401005066
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 20 (POB.),04,010,05,067,0401005067
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 21 (POB.),04,010,05,068,0401005068
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 22 (POB.),04,010,05,069,0401005069
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 23 (POB.),04,010,05,070,0401005070
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 24 (POB.),04,010,05,071,0401005071
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 3 (POB.),04,010,05,072,0401005072
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 4 (POB.),04,010,05,073,0401005073
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 5 (POB.),04,010,05,074,0401005074
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 6 (POB.),04,010,05,075,0401005075
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 7 (POB.),04,010,05,076,0401005076
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 8 (POB.),04,010,05,077,0401005077
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),BARANGAY 9 (POB.),04,010,05,078,0401005078
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SAMPAGA,04,010,05,082,0401005082
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),"SAN AGAPITO, ISLA VERDE",04,010,05,083,0401005083
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),"SAN AGUSTIN KANLURAN, ISLA VERDE",04,010,05,084,0401005084
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),"SAN AGUSTIN SILANGAN, ISLA VERDE",04,010,05,085,0401005085
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),"SAN ANDRES, ISLA VERDE",04,010,05,087,0401005087
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),"SAN ANTONIO, ISLA VERDE",04,010,05,088,0401005088
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SAN ISIDRO,04,010,05,090,0401005090
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SAN JOSE SICO,04,010,05,092,0401005092
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SAN MIGUEL,04,010,05,093,0401005093
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SAN PEDRO,04,010,05,094,0401005094
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SANTA CLARA,04,010,05,095,0401005095
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SANTA RITA APLAYA,04,010,05,096,0401005096
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SANTA RITA KARSADA,04,010,05,097,0401005097
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SANTO DOMINGO,04,010,05,099,0401005099
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SANTO NIÑO,04,010,05,100,0401005100
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SIMLONG,04,010,05,101,0401005101
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SIRANG LUPA,04,010,05,102,0401005102
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SOROSORO IBABA,04,010,05,103,0401005103
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SOROSORO ILAYA,04,010,05,104,0401005104
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),SOROSORO KARSADA,04,010,05,105,0401005105
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TABANGAO APLAYA,04,010,05,106,0401005106
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TABANGAO AMBULONG,04,010,05,107,0401005107
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TABANGAO DAO,04,010,05,109,0401005109
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TALAHIB PANDAYAN,04,010,05,110,0401005110
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TALAHIB PAYAPA,04,010,05,111,0401005111
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TALUMPOK KANLURAN,04,010,05,112,0401005112
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TALUMPOK SILANGAN,04,010,05,113,0401005113
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TINGA ITAAS,04,010,05,114,0401005114
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TINGA LABAK,04,010,05,115,0401005115
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),TULO,04,010,05,116,0401005116
REGION IV-A (CALABARZON),BATANGAS,BATANGAS CITY (CAPITAL),WAWA,04,010,05,117,0401005117
REGION IV-A (CALABARZON),BATANGAS,BAUAN,ALAGAO,04,010,06,001,0401006001
REGION IV-A (CALABARZON),BATANGAS,BAUAN,APLAYA,04,010,06,002,0401006002
REGION IV-A (CALABARZON),BATANGAS,BAUAN,AS-IS,04,010,06,003,0401006003
REGION IV-A (CALABARZON),BATANGAS,BAUAN,BAGONG SILANG,04,010,06,004,0401006004
REGION IV-A (CALABARZON),BATANGAS,BAUAN,BAGUILAWA,04,010,06,005,0401006005
REGION IV-A (CALABARZON),BATANGAS,BAUAN,BALAYONG,04,010,06,006,0401006006
REGION IV-A (CALABARZON),BATANGAS,BAUAN,BARANGAY I (POB.),04,010,06,007,0401006007
REGION IV-A (CALABARZON),BATANGAS,BAUAN,BARANGAY II (POB.),04,010,06,008,0401006008
REGION IV-A (CALABARZON),BATANGAS,BAUAN,BARANGAY III (POB.),04,010,06,009,0401006009
REGION IV-A (CALABARZON),BATANGAS,BAUAN,BARANGAY IV (POB.),04,010,06,010,0401006010
REGION IV-A (CALABARZON),BATANGAS,BAUAN,BOLO,04,010,06,011,0401006011
REGION IV-A (CALABARZON),BATANGAS,BAUAN,COLVO,04,010,06,012,0401006012
REGION IV-A (CALABARZON),BATANGAS,BAUAN,CUPANG,04,010,06,013,0401006013
REGION IV-A (CALABARZON),BATANGAS,BAUAN,DURUNGAO,04,010,06,014,0401006014
REGION IV-A (CALABARZON),BATANGAS,BAUAN,GULIBAY,04,010,06,015,0401006015
REGION IV-A (CALABARZON),BATANGAS,BAUAN,INICBULAN,04,010,06,016,0401006016
REGION IV-A (CALABARZON),BATANGAS,BAUAN,LOCLOC,04,010,06,018,0401006018
REGION IV-A (CALABARZON),BATANGAS,BAUAN,MAGALANG-GALANG,04,010,06,019,0401006019
REGION IV-A (CALABARZON),BATANGAS,BAUAN,MALINDIG,04,010,06,020,0401006020
REGION IV-A (CALABARZON),BATANGAS,BAUAN,MANALUPONG,04,010,06,021,0401006021
